Model,Period,Forecast method,RMSE
LightGBM,Estimation,Model,0.30623132629083477
LightGBM,Estimation,AR(1),0.5216570970712638
LightGBM,Forecast,Model,0.6720958034560947
LightGBM,Forecast,AR(1),0.5441168089835673
XGBoost,Estimation,Model,0.3387301069808445
XGBoost,Estimation,AR(1),0.5216570970712638
XGBoost,Forecast,Model,0.6619079651351352
XGBoost,Forecast,AR(1),0.5441168089835673
Lasso,Estimation,Model,0.5227532455411268
Lasso,Estimation,AR(1),0.5216570970712638
Lasso,Forecast,Model,0.5440204229092682
Lasso,Forecast,AR(1),0.5441168089835673
MLP,Estimation,Model,0.3785496777244727
MLP,Estimation,AR(1),0.5216570970712638
MLP,Forecast,Model,0.6523741265933138
MLP,Forecast,AR(1),0.5441168089835673
OLS,Estimation,Model,0.5114292017951827
OLS,Estimation,AR(1),0.5204288851171336
OLS,Forecast,Model,0.6144774160257734
OLS,Forecast,AR(1),0.5441168089835673
Ridge,Estimation,Model,0.5067227751176955
Ridge,Estimation,AR(1),0.5211275292913466
Ridge,Forecast,Model,0.5486374917655548
Ridge,Forecast,AR(1),0.5441168089835673
Elastic Net,Estimation,Model,0.49639711827476574
Elastic Net,Estimation,AR(1),0.5212032978480425
Elastic Net,Forecast,Model,0.5543138798513866
Elastic Net,Forecast,AR(1),0.5441168089835673
Huber,Estimation,Model,0.5236875864204151
Huber,Estimation,AR(1),0.5211275292913466
Huber,Forecast,Model,0.5409294780286024
Huber,Forecast,AR(1),0.5441168089835673
Spline Ridge,Estimation,Model,0.4776639745313653
Spline Ridge,Estimation,AR(1),0.5203508597933585
Spline Ridge,Forecast,Model,0.5622535596882052
Spline Ridge,Forecast,AR(1),0.5441168089835673
